IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimAmount,Target
139.0,1,0.75,F,7,1,61,50,B12,'Regular',27000,R11,303.0,404.0
190.0,1,0.14,B,12,5,50,60,B12,'Diesel',56,R25,1981.84,14155.999999999998
414.0,1,0.14,E,4,0,36,85,B12,'Regular',4792,R11,1456.55,10403.92857142857
424.0,2,0.62,F,10,0,51,100,B12,'Regular',27000,R11,989.64,1596.1935483870968
424.0,2,0.62,F,10,0,51,100,B12,'Regular',27000,R11,9844.36,15878.000000000002
463.0,1,0.31,A,5,0,45,50,B12,'Regular',12,R73,3986.67,12860.225806451614
606.0,1,0.84,D,10,6,54,50,B12,'Diesel',583,R93,1840.14,2190.6428571428573
622.0,1,0.75,D,5,0,34,64,B12,'Regular',1565,R31,1397.97,1863.96
811.0,1,0.76,E,5,0,44,50,B12,'Regular',3317,R93,971.98,1278.921052631579
830.0,1,0.68,E,4,10,24,105,B1,'Regular',3064,R11,1442.75,2121.6911764705883
975.0,1,0.73,D,9,0,60,50,B12,'Regular',570,R93,637.41,873.1643835616438
1226.0,1,0.79,B,7,7,28,80,B12,'Diesel',65,R21,3048.98,3859.46835443038
1301.0,1,0.05,D,6,0,76,50,B12,'Regular',543,R91,4573.47,91469.4
1323.0,1,0.62,E,8,4,67,72,B12,'Regular',2674,R93,384.77,620.5967741935484
1349.0,1,0.36,C,5,0,39,57,B12,'Diesel',177,R93,185.98,516.6111111111111
1534.0,1,0.62,B,4,0,47,50,B12,'Regular',79,R91,671.05,1082.3387096774193
1552.0,2,0.59,D,11,0,39,56,B12,'Diesel',778,R22,995.2,1686.7796610169494
1552.0,2,0.59,D,11,0,39,56,B12,'Diesel',778,R22,1845.74,3128.3728813559323
1669.0,1,0.5,D,9,0,35,67,B12,'Regular',1139,R11,724.03,1448.06
1671.0,1,0.73,E,6,0,74,50,B12,'Regular',3132,R11,3401.9,4660.13698630137
1741.0,1,0.65,E,6,8,49,100,B1,'Regular',9082,R11,2975.68,4577.96923076923
1870.0,1,0.11,C,5,0,52,50,B12,'Regular',428,R73,1692.29,15384.454545454546
1963.0,1,0.1,E,9,0,78,50,B12,'Regular',2580,R72,422.05,4220.5
